Year, Month, Day, Hour, Minute, weekday, User, a0, b00, b01, b10, b11, hum, lum, temp_e presence, temp_i, lum_i
2016,10,18,10,34,1,False,0,0,0,0,0,0,0,0,False,31.25,45.1171875
2016,10,18,10,34,1,False,0,0,0,0,0,0,0,0,False,31.25,45.21484375
2016,10,18,10,36,1,False,0,0,0,0,0,0,0,0,False,31.25,45.5078125
2016,10,18,10,36,1,False,0,0,0,0,0,0,0,0,False,31.25,45.60546875
2016,10,18,10,37,1,False,0,0,0,0,0,0,0,0,False,31.73828125,45.703125
2016,10,18,10,37,1,False,0,0,0,0,0,0,0,0,False,31.73828125,45.41015625
2016,10,18,10,37,1,False,0,0,0,0,0,0,0,0,False,31.73828125,45.41015625
2016,10,18,10,38,1,False,0,0,0,0,0,0,0,0,False,31.25,44.82421875
2016,10,18,10,38,1,False,0.0,0.0,0.0,10.55,0.0,26,37,54.0556640625,False,31.25,44.921875
2016,10,18,10,39,1,False,0,0,0,0,0,0,0,0,False,31.25,46.19140625
2016,10,18,10,39,1,False,0.0,0.0,0.0,0.0,0.0,27,36,54.53173828125,False,31.25,46.09375
2016,10,18,10,39,1,False,0.0,0.0,0.0,13.51,0.0,26,37,54.45849609375,False,31.25,46.09375
2016,10,18,10,44,1,False,0,0,0,0,0,0,0,0,False,31.25,46.484375
2016,10,18,10,44,1,False,0.0,0.0,0.0,0.0,0.0,26,37,54.55615234375,False,31.25,46.38671875
2016,10,18,10,44,1,False,0.0,0.0,0.0,0.0,0.0,26,37,54.55615234375,False,31.25,46.58203125
2016,10,18,10,44,1,False,0.0,0.0,15.58,0.0,0.0,26,37,54.6171875,False,31.25,46.77734375
2016,10,18,12,18,1,False,0,0,0,0,0,0,0,0,False,32.2265625,0.29296875
2016,10,18,12,19,1,False,0,0,0,0,0,0,0,0,False,32.2265625,0.29296875
2016,10,18,12,19,1,True,23.33,10.6,0.0,0.0,0.0,26,36,51.11376953125,False,32.2265625,0.390625
2016,10,18,12,20,1,True,37.69,0.0,0.0,0.0,0.0,26,36,51.18701171875,False,32.2265625,0.390625
2016,10,18,12,20,1,True,38.74,0.0,0.0,0.0,0.0,26,36,51.2724609375,False,32.2265625,0.390625
2016,10,18,12,20,1,True,37.6,10.51,0.0,0.0,0.0,26,36,51.19921875,False,32.2265625,0.390625
2016,10,18,12,20,1,True,36.22,11.14,0.0,0.0,0.0,26,36,51.00390625,False,31.73828125,0.29296875
2016,10,18,12,20,1,True,37.65,0.0,0.0,0.0,0.0,26,36,51.00390625,False,32.2265625,0.29296875
2016,10,18,12,20,1,True,38.19,0.0,0.0,0.0,0.0,26,36,50.91845703125,False,32.2265625,0.390625
2016,10,18,12,21,1,True,37.0,0.0,0.0,0.0,0.0,26,36,50.74755859375,False,32.2265625,0.390625
2016,10,18,12,21,1,True,38.85,0.0,14.65,10.68,0.0,26,36,50.759765625,False,32.71484375,0.390625
2016,10,18,12,21,1,True,38.43,0.0,0.0,11.1,0.0,26,36,50.64990234375,False,32.2265625,0.390625
2016,10,18,12,21,1,True,38.66,0.0,0.0,0.0,0.0,26,36,50.5888671875,False,32.2265625,0.29296875
2016,10,18,12,21,1,True,36.92,0.0,0.0,0.0,0.0,26,36,49.99072265625,False,32.2265625,0.390625
2016,10,18,12,21,1,True,38.07,0.0,0.0,0.0,0.0,26,36,49.83203125,False,32.2265625,0.390625
2016,10,18,12,22,1,True,39.0,0.0,0.0,0.0,0.0,26,36,49.72216796875,False,32.2265625,0.29296875
2016,10,18,12,22,1,True,38.61,0.0,0.0,0.0,0.0,26,36,49.77099609375,False,32.71484375,0.390625
